ID,Cropping,Denoising,PostResizeSharpening,JPEG,code
136,558,10,1.003,85.0,crop=558_denoising=10_sharpening=1.003
137,558,10,1.169,85.0,crop=558_denoising=10_sharpening=1.169
138,558,10,1.334,85.0,crop=558_denoising=10_sharpening=1.334
139,558,10,1.5,85.0,crop=558_denoising=10_sharpening=1.5
140,558,13,0.01,85.0,crop=558_denoising=13_sharpening=0.01
141,558,13,0.176,85.0,crop=558_denoising=13_sharpening=0.176
142,558,13,0.341,85.0,crop=558_denoising=13_sharpening=0.341
143,558,13,0.507,85.0,crop=558_denoising=13_sharpening=0.507
144,558,13,0.672,85.0,crop=558_denoising=13_sharpening=0.672
145,558,13,0.838,85.0,crop=558_denoising=13_sharpening=0.838
146,558,13,1.003,85.0,crop=558_denoising=13_sharpening=1.003
147,558,13,1.169,85.0,crop=558_denoising=13_sharpening=1.169
148,558,13,1.334,85.0,crop=558_denoising=13_sharpening=1.334
149,558,13,1.5,85.0,crop=558_denoising=13_sharpening=1.5
150,558,17,0.01,85.0,crop=558_denoising=17_sharpening=0.01
151,558,17,0.176,85.0,crop=558_denoising=17_sharpening=0.176
152,558,17,0.341,85.0,crop=558_denoising=17_sharpening=0.341
153,558,17,0.507,85.0,crop=558_denoising=17_sharpening=0.507
154,558,17,0.672,85.0,crop=558_denoising=17_sharpening=0.672
155,558,17,0.838,85.0,crop=558_denoising=17_sharpening=0.838
156,558,17,1.003,85.0,crop=558_denoising=17_sharpening=1.003
157,558,17,1.169,85.0,crop=558_denoising=17_sharpening=1.169
158,558,17,1.334,85.0,crop=558_denoising=17_sharpening=1.334
159,558,17,1.5,85.0,crop=558_denoising=17_sharpening=1.5
160,558,20,0.01,85.0,crop=558_denoising=20_sharpening=0.01
161,558,20,0.176,85.0,crop=558_denoising=20_sharpening=0.176
162,558,20,0.341,85.0,crop=558_denoising=20_sharpening=0.341
163,558,20,0.507,85.0,crop=558_denoising=20_sharpening=0.507
164,558,20,0.672,85.0,crop=558_denoising=20_sharpening=0.672
165,558,20,0.838,85.0,crop=558_denoising=20_sharpening=0.838
166,558,20,1.003,85.0,crop=558_denoising=20_sharpening=1.003
167,558,20,1.169,85.0,crop=558_denoising=20_sharpening=1.169
168,558,20,1.334,85.0,crop=558_denoising=20_sharpening=1.334
169,558,20,1.5,85.0,crop=558_denoising=20_sharpening=1.5
170,558,23,0.01,85.0,crop=558_denoising=23_sharpening=0.01
171,558,23,0.176,85.0,crop=558_denoising=23_sharpening=0.176
172,558,23,0.341,85.0,crop=558_denoising=23_sharpening=0.341
173,558,23,0.507,85.0,crop=558_denoising=23_sharpening=0.507
174,558,23,0.672,85.0,crop=558_denoising=23_sharpening=0.672
175,558,23,0.838,85.0,crop=558_denoising=23_sharpening=0.838
176,558,23,1.003,85.0,crop=558_denoising=23_sharpening=1.003
177,558,23,1.169,85.0,crop=558_denoising=23_sharpening=1.169
178,558,23,1.334,85.0,crop=558_denoising=23_sharpening=1.334
179,558,23,1.5,85.0,crop=558_denoising=23_sharpening=1.5
180,558,26,0.01,85.0,crop=558_denoising=26_sharpening=0.01
181,558,26,0.176,85.0,crop=558_denoising=26_sharpening=0.176
182,558,26,0.341,85.0,crop=558_denoising=26_sharpening=0.341
183,558,26,0.507,85.0,crop=558_denoising=26_sharpening=0.507
184,558,26,0.672,85.0,crop=558_denoising=26_sharpening=0.672
185,558,26,0.838,85.0,crop=558_denoising=26_sharpening=0.838
186,558,26,1.003,85.0,crop=558_denoising=26_sharpening=1.003
187,558,26,1.169,85.0,crop=558_denoising=26_sharpening=1.169
188,558,26,1.334,85.0,crop=558_denoising=26_sharpening=1.334
189,558,26,1.5,85.0,crop=558_denoising=26_sharpening=1.5
190,558,30,0.01,85.0,crop=558_denoising=30_sharpening=0.01
191,558,30,0.176,85.0,crop=558_denoising=30_sharpening=0.176
192,558,30,0.341,85.0,crop=558_denoising=30_sharpening=0.341
193,558,30,0.507,85.0,crop=558_denoising=30_sharpening=0.507
194,558,30,0.672,85.0,crop=558_denoising=30_sharpening=0.672
195,558,30,0.838,85.0,crop=558_denoising=30_sharpening=0.838
196,558,30,1.003,85.0,crop=558_denoising=30_sharpening=1.003
197,558,30,1.169,85.0,crop=558_denoising=30_sharpening=1.169
198,558,30,1.334,85.0,crop=558_denoising=30_sharpening=1.334
199,558,30,1.5,85.0,crop=558_denoising=30_sharpening=1.5
200,604,1,0.01,85.0,crop=604_denoising=1_sharpening=0.01
201,604,1,0.176,85.0,crop=604_denoising=1_sharpening=0.176
202,604,1,0.341,85.0,crop=604_denoising=1_sharpening=0.341
203,604,1,0.507,85.0,crop=604_denoising=1_sharpening=0.507
204,604,1,0.672,85.0,crop=604_denoising=1_sharpening=0.672
205,604,1,0.838,85.0,crop=604_denoising=1_sharpening=0.838
206,604,1,1.003,85.0,crop=604_denoising=1_sharpening=1.003
207,604,1,1.169,85.0,crop=604_denoising=1_sharpening=1.169
208,604,1,1.334,85.0,crop=604_denoising=1_sharpening=1.334
209,604,1,1.5,85.0,crop=604_denoising=1_sharpening=1.5
210,604,4,0.01,85.0,crop=604_denoising=4_sharpening=0.01
211,604,4,0.176,85.0,crop=604_denoising=4_sharpening=0.176
212,604,4,0.341,85.0,crop=604_denoising=4_sharpening=0.341
213,604,4,0.507,85.0,crop=604_denoising=4_sharpening=0.507
214,604,4,0.672,85.0,crop=604_denoising=4_sharpening=0.672
215,604,4,0.838,85.0,crop=604_denoising=4_sharpening=0.838
216,604,4,1.003,85.0,crop=604_denoising=4_sharpening=1.003
217,604,4,1.169,85.0,crop=604_denoising=4_sharpening=1.169
218,604,4,1.334,85.0,crop=604_denoising=4_sharpening=1.334
219,604,4,1.5,85.0,crop=604_denoising=4_sharpening=1.5
220,604,7,0.01,85.0,crop=604_denoising=7_sharpening=0.01
221,604,7,0.176,85.0,crop=604_denoising=7_sharpening=0.176
222,604,7,0.341,85.0,crop=604_denoising=7_sharpening=0.341
223,604,7,0.507,85.0,crop=604_denoising=7_sharpening=0.507
224,604,7,0.672,85.0,crop=604_denoising=7_sharpening=0.672
